Metric,2023,2022,2021,2020,2019,2018,2017
Cash Dividend,0,0,0,0,251220000.0,224260000.0,129970000.0
Annual Dividend per Share,0,0,0,0,2.8,2.5,1.45
Perferred Dividend,0,0,0,0,0.0,0.0,0.0
